Product ID,Product Name,Product Type,Sellable,Purchasable,Taxable,Type,Attribute,Value
28025205,Three Stripe Diamond Studded Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_2,color_39,color_8"
28025208,Marble Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_2,color_39,color_8"
28025300,Toke Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_4,color_7,color_8,color_12"
28025362,Half Diamond Half Metal Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_3,color_44,color_8"
28025380,Rasta Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_45,color_46"
28025388,Monkey Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_7"
28025435,Royal Crown Diamond Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_2,color_39,color_8"
28025514,Silicon Gandalf Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_color,"color_47,color_48,color_49"
42951659,BYO Stone Hookah Bowl,Hookah,TRUE,TRUE,7%,Storable Product,attribute_color,"color_1,color_3,color_50,color_51,color_52,color_53,color_7,color_54,color_12"
28025183,Zebra Coconut Charcoal - Green Edition,Charcoal,TRUE,TRUE,7%,Storable Product,attribute_count,"count_1,count_2"
39014301,Vapor Hookah,Hookah,TRUE,TRUE,7%,Storable Product,attribute_design,"design_1,design_2,design_3,design_4,design_5,design_6,design_7,design_8"
28025450,Engraved Metal Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_design,"design_9,design_10,design_11,design_12"
30251570,Pop Up Swirl Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_design,"design_13,design_14,design_15,design_16,design_17,design_18"
30251571,Pop Up Abstract Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_design,"design_13,design_14,design_15,design_16,design_17,design_18"
30251573,Genie Blade Grinder,Grinder,TRUE,TRUE,7%,Storable Product,attribute_design,"design_19,design_20,design_21,design_22,design_23,design_24"
32991074,Peruvian Hand Pipe,Hand Pipe,TRUE,TRUE,7%,Storable Product,attribute_design,"design_25,design_26,design_27,design_28,design_29"
39341964,Pharaohs Hookah,Hookah,TRUE,TRUE,7%,Storable Product,attribute_design,"design_30,design_31,design_32,design_33,design_34,design_35,design_36,design_37,design_38"
42518502,Syndicate Glass Ashtray,Ashtray,TRUE,TRUE,7%,Storable Product,attribute_design,"design_39,design_40,design_41,design_42,design_43,design_44"
42518513,Syndicate Tin Ashtray,Ashtray,TRUE,TRUE,7%,Storable Product,attribute_design,"design_45,design_39,design_46,design_41,design_47,design_44"
28025173,Gold Star Hookah Tobacco 200g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_1,flavor_2,flavor_3,flavor_4,flavor_5,flavor_6,flavor_7,flavor_8"
28025189,Gold Star Hookah Tobacco 50g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_9,flavor_10,flavor_3,flavor_11,flavor_12"
40619955,Al Fakhamah Tobacco 250g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,flavor_13
40799068,Amazing Hookah Tobacco 200g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_14,flavor_15"
33270284,10mg CBD Suckers,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_16,flavor_17,flavor_18"
28025431,Al Fakher Hookah Tobacco 250g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_19,flavor_20,flavor_21,flavor_22,flavor_23,flavor_24,flavor_16,flavor_3,flavor_25,flavor_5,flavor_26,flavor_27"
28025443,Al Fakher Hookah Tobacco 50g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_20,flavor_21,flavor_28,flavor_22,flavor_29,flavor_3,flavor_25,flavor_30,flavor_31"
28025456,Al Waha Hookah Tobacco 200g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_32,flavor_33,flavor_34,flavor_35,flavor_36,flavor_37,flavor_38,flavor_39,flavor_40,flavor_41,flavor_6,flavor_42,flavor_43,flavor_44,flavor_45,flavor_46"
28025520,Starbuzz Hookah Tobacco 100g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_47,flavor_48"
28025533,Starbuzz Hookah Tobacco 250g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,flavor_47
38779537,Lolli-Tips,Hookah,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_49,flavor_50,flavor_51,flavor_52,flavor_53,flavor_54,flavor_55"
38914276,Adalya Hookah Tobacco 50g,Hookah Tobacco,TRUE,TRUE,7%,Storable Product,attribute_flavor,flavor_56
28025549,Myle Pods,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_57,flavor_58,flavor_59,flavor_60,flavor_27,flavor_61,flavor_18,flavor_62"
31654598,Just Mango - Juul Compatible - 5%,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,flavor_63
36424442,Puff Bar - Disposable 1.3ml 5%,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_64,flavor_65,flavor_66,flavor_67,flavor_27,flavor_68,flavor_69,flavor_18,flavor_70"
38818851,Puff Bar Plus 3.2ML 800 Puffs 550mAh,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_71,flavor_72,flavor_73,flavor_69,flavor_74,flavor_75"
32355326,Terp Nation 500MG CBD 1.0ml Tank,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_76,flavor_27,flavor_77,flavor_78,flavor_79,flavor_80"
32355377,Terp Nation CBD 100MG Pet Treats,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_81,flavor_82,flavor_83,flavor_84,flavor_85,flavor_86"
40505249,CBD Nerds Rope 200mg,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_87,flavor_88"
40505433,TKO CBD Shisha,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_89,flavor_90,flavor_91,flavor_92,flavor_93,flavor_94"
42546460,TKO D-8 Carts 800mg 1ml,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_95,flavor_96,flavor_97,flavor_79,flavor_98,flavor_99"
28025464,Salt Bae - 30ml / 25mg,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_100,flavor_17,flavor_101,flavor_102,flavor_103,flavor_104"
30627640,Wild Hemp - Hempettes - 20ct,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_105,flavor_106"
32497969,Lava 2 Pods 5% (Pack of 4),E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_107,flavor_108,flavor_109,flavor_27,flavor_61,flavor_110,flavor_111,flavor_112"
32502469,RXO CBD Pod 250mg,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_19,flavor_27"
33178016,Secret Nature Artisan CBD Pre-Rolls 2 Pack,CBD,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_113,flavor_114,flavor_115,flavor_116,flavor_117"
35036741,Myle Mini Disposable,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_58,flavor_118,flavor_119,flavor_8,flavor_110,flavor_120"
35036742,Lava Stik Disposable,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_107,flavor_20,flavor_121,flavor_27"
36891415,Mr vapor Disposable,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_122,flavor_123,flavor_124,flavor_66,flavor_125,flavor_67,flavor_126,flavor_127"
38297683,Side Bae Disposable Device 5%,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_flavor,"flavor_128,flavor_129,flavor_130,flavor_131,flavor_132,flavor_133"
