Internal Reference,Name, Sales Price , Cost ,Product Category,Attribute,Value
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-16,Simply Solid 38 - Black - 16-yard bolt, $ 44.48 , $ 26.08 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-15.625,Simply Solid 38 - Black - 15.625-yard bolt, $ 43.44 , $ 25.47 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-15.5,Simply Solid 38 - Black - 15.5-yard bolt, $ 43.09 , $ 25.27 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-15.375,Simply Solid 38 - Black - 15.375-yard bolt, $ 42.74 , $ 25.06 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-15,Simply Solid 38 - Black - 15-yard bolt, $ 41.70 , $ 24.45 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-14.75,Simply Solid 38 - Black - 14.75-yard bolt, $ 41.01 , $ 24.04 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-14.625,Simply Solid 38 - Black - 14.625-yard bolt, $ 40.66 , $ 23.84 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-14.5,Simply Solid 38 - Black - 14.5-yard bolt, $ 40.31 , $ 23.64 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-14,Simply Solid 38 - Black - 14-yard bolt, $ 38.92 , $ 22.82 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-13.75,Simply Solid 38 - Black - 13.75-yard bolt, $ 38.23 , $ 22.41 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-13.625,Simply Solid 38 - Black - 13.625-yard bolt, $ 37.88 , $ 22.21 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-13.5,Simply Solid 38 - Black - 13.5-yard bolt, $ 37.53 , $ 22.01 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-13,Simply Solid 38 - Black - 13-yard bolt, $ 36.14 , $ 21.19 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-12.5,Simply Solid 38 - Black - 12.5-yard bolt, $ 34.75 , $ 20.38 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-12,Simply Solid 38 - Black - 12-yard bolt, $ 33.36 , $ 19.56 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-11.5,Simply Solid 38 - Black - 11.5-yard bolt, $ 31.97 , $ 18.75 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-11,Simply Solid 38 - Black - 11-yard bolt, $ 30.58 , $ 17.93 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_3
,,,,,attribute_putup_format,putup_format_1
BD-19001-002-10.75,Simply Solid 38 - Black - 10.75-yard bolt, $ 29.89 , $ 17.52 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_3
,,,,,attribute_color,color_3
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
